#512 values of F as pairs x,F(x)
48,98940658536476629337879077745572410924375639112563687959966331645309296883320
49,61749554402275736522152157873711408403365324259093188087134891887975034095279
50,94263229028017482675986511749202361645103420220814206029438832452658856341526
51,84490896551731222778395305965796054528566037370287082784244903424326286534763
52,44664105088626910665624192880475867656047697387695158150704031052798480438758
53,110036205124962020832329329110017566806472300053931235437372909002502458306917
54,37424333152155080129630829668832205764431138878778134529651702836237729152656
55,84376873463313495681464902850617257470165865422572032852404947041868103756704
56,82326985929677178276215516066523030835604128989297920629860822633509179718733
57,6395511024792103347961962964435614337082613109949977109466495970084895782259
58,99845795750700318933125046731081434025436210062959718006375377312253152511039
59,113210546668696061925127626403954256780712388916557358359459501847843658248262
60,94889040574669749952931552715926145019054802778137053595601054772408898181195
61,48118801379017754865963380077488732166566396030045108835690977160636795965255
62,7205269386947076790756023274695910232289804796730905693874543519288613732835
63,98826868640245538787020034946147933515440504953405984501433772159179802534852
64,80150142474231074677714727213214568207980038193760883116977794558925120347365
65,33818169332927281053939806569261443347039686096787864178334434553857076978139
66,102267268548147517336036787075765144898109532212333108505212507254971499057254
67,67152074128302541356335271126030545380265584862107753817942164246548835166007
68,101067193045254390246634154175570930390860599422887518023714276911867574762807
69,110950314443480818681067813023388809935835989652330620390056368107441169813394
70,80661121353064116683942526401631427245921870905530124501038725953875546591930
71,55356620663613101677378349278260933697866956349123360629278893792267713175418
72,59157036050989113126264669045152453544563279019291700809156117503621901031825
73,5441705268613220976564897842853349190029904579658710024826564687364847990902
74,79967437113887338136609612523515135273390137353339794774257476008350395635189
75,90569403293621380421209684683401568175758327717036546403085034503093825446023
76,81751836303596663314997107119369009609105511223622162574523011490405944730561
77,21579627343939796301290680653406568734551109851427877668121247389541906214915
78,41497045417983620109699183875986310027379171626858269045755012516669297677515
79,262937927679051106374796295146799132164623950797692786952062180240022016518
80,24922457421103996774698007928694906056867409116956587827810477759750482801127
81,89436035808228971481442406409208801807945240733816991879678149293488385536846
82,7591301039887465563023068141979188234362326124506839540186764621055631452520
83,30175186333384073484009432992138892387624216755388453356963665787240873818719
84,90567029202461783105847879090128286059726024510065374758855395268953750146511
85,44671007040802019204060574858440366137143572818727027663629015944967559314733
86,67698245921907773251294946963953641624477754737858838570168006175441521857037
87,25258876538108467990070707263684581984627065573710751448666994605754369959201
88,47376690832012402190711511470020591144754602986420805845267323520600850088025
89,86743158338672037326867556382997067565376470680885376269139509151117671993872
90,51456539364255651053719572795735890662037698277024059434371223743525443297062
91,51981738060328661043346963023347260348130290372906219937449982806449394224937
92,112017727849262305326320320427043024247308375498197483110318088774145835746464
93,65853260439650397226502116181589168418051999533577724863944727871872720886359
94,105761642993779874848564046401518843680816016010229648247719718162616499733957
95,992563336755722380141511379045194568537838731327158590600083032516704006415
96,96024673277207224354784337635828400895850012293035499613439582466103267094984
97,5147277543877902707771372557459845272807196950981863070780011888024853059613
98,72214641613898039580974317958461740985936156713944671717544350959662028475248
99,49165076245480095543108416213455167290902807247235811702249664664749501013910
100,30267914933938402337479588044389353334070883245616575929152397193571977312102
101,71604467328111103602381694160511158838426421953449596383431826163906990793455
102,52776242256121654812415428015148778615514724159590245009063307281809555498548
103,29123509038976563933066338531269706952742114431390651774718945614339096936065
104,11572716578490696862195230656368178122047626980098192967220925606070113669220
105,68912831225408388411008664279531688245938202142544073402906051851662357198124
106,26663921777442058631481144579450408255725364136870318259416689556268542251126
107,9186182436232253435773701484869555942144719255759204196797953347062972559733
108,20880155030260422203376705093225928024035504983309302674778541110374870470338
109,7573592726811411100577418686386504977712738389035489635402751057301524921739
110,81179190188703853869886761356770187270399984762432270118757111178358813868405
111,97078073965497600948083722603598387349644970239299745560262045038268122229025
112,86701911970041126708282995722979266855285668461993387364675620741194783952769
113,16964060236968248497708284613907718159219671378521058265120504040359982368037
114,46869122196095207727268863570527896405286483252556168648582984403652030293089
115,98228171028296266941254805608834997412927000027498578561739850686588455566051
116,97465396993040141313474467875115188277190018051312449257600261352055493056843
117,68065549514279657583951279433326626479676963904070818417855689404969289257895
118,47543648753343327369930813146492858859368203010348545412094656607978519294858
119,47977251932118982687163156246471721668591373662317278743783102665662443031336
120,65141446724650873426845375542164372778583378469174145172067728218741027198793
121,45361472478512052996854484800655735334211216204035171480268114823275108347721
122,91011001365363212294176949050138384090091220933932162087804650518040461679471
123,2500315606327026500652320410795704168080850812758467887822754269630835317926
124,61068963160484788968953141086384679990592273172915606569363704127247784184240
125,25655603122784433021815783249692676760699955257049283413215432025994886778780
126,111550658556399512165961147378185552650532531205195080132770979629271098575294
127,99037746857641207668332933305340856575668916707099488300010251265810322107580
128,75940467473786766408319884484669969672896054082890201060028999200870964074813
129,28884955872566904640687027294199542342894939751756431367758187226636659057516
130,16388107403364561367362131418347326313044158636366527592398670295449673738484
131,26257090220183245466507961229179731290616714096537207917632781197134168543583
132,65914127884253346822338949975369414552528851650340976726454944346289673099838
133,10714750760675088172806999355343389402951019110738033338664725184329210878473
134,106030663170687939583814492846834352197584722932158861870213769171582016554862
135,44330670007543202584494755304717815735356227485698832626447124441948200400323
136,31592779876669778242721487414916973647519230673493485837457732862082776266100
137,17838069931644961999685832207962624827555577945841137728015742330481292293515
138,107311548610224566647297765310632049231283236247257877725451926292559451629176
139,92094252086314582342172929340271256707064889429010609802680590092790987701992
140,88986048780437203126043339415594983716671340094933662523957650063406919039163
141,13433654141175398780827461038588340952995570471397657998178472512810140084005
142,47514354741817094149658016934999808971039040631287074584109646454061938379933
143,102661261011246688992454180883308497418702806017720452493271105072775056253713
144,111310044895110324337174501476809693352853094226852015492906191504512463916491
145,17391371696174841755430454285007347745615627176891767579139532421705643995843
146,24580348970874487740997197498164751021998768392777016452784420544629803506564
147,12089468928824115828883510927053770626312754984518211030045117431964665938477
148,6385507064089480363865627812475084234868170628492405452521444196833281499756
149,18888027251508045321357614215504276483926235071101049250577286269018345204913
150,74599240080169506855195042907367930557295682360817953808943372292923147724589
151,15051639414806602879390336800639696054554496102630311488210090005629726987659
152,73648166408981100701201239242943943688292204491842525411544524175408184698650
153,103957972869556941732402570787491377824658118707521849971103090421982469704761
154,93696151398862569573350137499634234677024225500020700545123837012625095737510
155,37835140153581496548875714671580314198524640551817347638525721251835084626885
156,89054998777274611085821596357704502665408777696124378459389893005738166365360
157,63183518742620367182089412728769654199949453014812712500490783837162453801875
158,19505779031941493934581100223264748567924471199248173984865161677936546960397
159,91661328759223471527017716797387493463881033727687853397749141848004449598000
160,103967183479047229812005337955210852139685364284496497621133203191219482396238
161,25278022740316750782864910552478252295562911751426783093494613891420936977362
162,65908828820784310325016661915865312231302100790618883264810947578110149425265
163,32090206512555791894988679325527304466716781237602952394106634867029197333213
164,71959699912117932137155612614519545587840695048524403315074373320546821024543
165,17105530315438027311164718736913413026130552459988866440979445235216067478409
166,86680026093004249517595309564197958947847752153012214136199887768841828734697
167,43914023746372984509607347149147120570248502377777093457644836581773935763022
168,69469858902193879273167895305640060160547386971222384913560983441741173978401
169,68090750966896578703493823403805427701134816800931541145666012510461326578732
170,90970672063874285607233849682053644335491510178323132440092483175609414371322
171,113257704377445555248342005974329477142265460937149834768799304618715505132468
172,78591529245085260312312814612257844660843700401443982706310903307600332276717
173,60328092172850138456070888864848187199621580147280402096927219320496602776546
174,75277895228565433975448208713875920675107582954584313047157268220827745688281
175,37304347947592800083088984007412515038269768792788194432585553002205351253924
176,24592074411707661505877288309377523537676956904055001851990986435673410602149
177,87598888794507641293022878711379705986535438969353726914254195148521705616210
178,74145990013701675619446630242378474530017667326669691669379022852138281546541
179,41294814365093704571025548502287756872065144267483416527316213440927176740286
180,32242158336401284536655994158358261239666918867387009470653247704295895780483
181,8341723215477965485449479396010612081599985303963998445202089164535898658928
182,1860011641458050816757912837423652442195086278482963010594698325689801032954
183,69989296340292856478619103753029116063722144362215224478071161779032786623595
184,58164274533983374239171779442897589176361642587175679533483784312746945680424
185,82488112742946182151727656061311844096358814492269067786478990523881935091311
186,73421746979839166096248149844785022140591838525707149900876576024054501541248
187,17764518803686338017846144575208737117160299325032316738643424082835487844239
188,12854560800695787488673651614227069185486700070698214044229608375589279430924
189,8562096031030061202445105722503500748909596882090748486015326667972567666248
190,85204844552969526088857754744940362598194549224098543434492540127864072919845
191,90685594331981612499096588270778033034008421911012189222403835829054189831377
192,12990572452570883602437107983836574468562301596827388364429896136911991214557
193,96586655209243407114684139179836606977820808895859102241766639076700845971206
194,45243024984848456076757117983446741296575622757729262758506322622706224712036
195,115519797507348226749610367997052027459962044158716485930596594175602691211799
196,65162217688247647878298093743432933790039100527631851951653288010956323528238
197,40330819620144760212212525556421609948861065414282872475586236167105461741972
198,58685513269707703572903280741715969475549427864064707260034176851168830547381
199,69059543717109650075325573531170556575877677891425778397976450240070884516599
200,29083903051242062338684435477223727309357203780537030695681571770764642497629
201,61869975711028240567551046803735830813491140656968840659753075999242938943963
202,33308025953219663185434114653443431682287816729016679125191997520566170223591
203,89589137623267960834684232818339406548235213665235175092501831429366391571501
204,88510249150596627806350820984537460971308338492848601402322653994979145267548
205,83809137116519293004032588347829292138954256082622736935450318075477866167613
206,7412147130125227083881056589226533906111373065826847725695250086699633608953
207,16565407234462680114288817406475718384071524915552806031360551593818550558417
208,80743503147524149825930827571171767964335155608308599905458583893163273707242
209,111831289212475047646704165314786426143704144839638745948580433529208148207247
210,102495070391720061918047173330620733826658335294677962940402038659176796859232
211,5610474336133809279978104823522366176721281647896814080475819617117872258881
212,50714705418462815367643615724556083626537916232027302440017168299439598922668
213,17184775816749825170050372290987272943416568036532062495041824321039823259880
214,10000537368986839849931604119267986460176248133267879280334607028107884013482
215,87609686183577858677211435878631263794264208087231001102024084820799052829657
216,111146238741327210660772484834531772651394535489326483937312361800763996914297
217,56134557199676936157680825153030150932427068145401367244243575334322693881500
218,61029367969302687736693761971127369519489263368801120295448371950754050709333
219,24449354311232197423946387899099212737764613356866579880145820312183921780890
220,72399793013200280594653845525899776726160672542541550110313783114484791494632
221,86754785327734431973216087505270717137992086397420991483035538736599115477312
222,107052575230360946499549445563597019216661249176591983084890157042963589531869
223,101749034736425584156102314342113195075452560245181893925601725194665898811416
224,41189359449280497249277238365452196576474764064009901246668965339967944944362
225,61761929723504172140637806056183492203537142797092755237765653779629372528957
226,100187871132837427667642816698405789604622888877753060420585209075314611749508
227,16704085917157718275474386900181393897350145174921447593260350402575350001988
228,16699977087396012274925323854580774880553322526116530355639437524119527788423
229,99532795405033813009158795886841166590607712424717183891863305927647947335280
230,43888969117396279174942282441218760172739627032579610330869624270723569334101
231,81318313943477205064745681100138422857684540763072365849584114717893150823668
232,94179848412305451741321916556872133387252575822230433657349300351824677504954
233,47626540493228757477661403819239500386127565239141949690441322239027882343005
234,45728084390717645516207666511798308142096991313868074944693965295994051561242
235,83771146481805310578153423480614373267859721522918243246616555693312371719413
236,56646661112919943283107141434234300560944083424977441105882417196204430843508
237,59536692795087631015125051414206812678498217469959801012448931593840417055438
238,69664059959305791597218170597945563788360486835031313802517099488994465161792
239,46677128997790374483043663115540449866472832897196091079322683644429439009805
240,105168531491859184911238022887727838784149777540383982519364810365482251357745
241,20701020690806088025009568397683357761163430867790179938670169095105530881691
242,75444930891949512130749104849886439717828155184924662181662128356073549699337
243,68675290718806337895634273531542960043957077380995265977665530399610434345178
244,41941395914865613766503070250067467055019937883044742581859226135868142444583
245,25083959211198802007004620789481073442322862522739429515327254271773956166501
246,60682093130118137163559933267097564251735331329225929147357012865194553336937
247,1446883266085500555422056755149086701913787248998173112426305538145966210811
248,106483963844577350437352977290995804914171618356537307367658270175272427109175
249,69766299112185418308673857434982489073059391421628680525375950376810634746618
250,77742774317199770202287673108506570765201987648677426552808979609179947045411
251,104501469981332348011003807203477226276165554196223608416659189779065101997247
252,82719959235345404887875523460061942106400809497343285959348345147881669792633
253,7214766284656520352344362514322920687737311573696471397604058226299945715389
254,11871663839937311347775017352518340821960918454329001461193275995690272247992
255,14852582852248248802901410740281552772960933747088207200763040910473673584845
256,33803433777697212385110158579909791344649871241765316355266646625518951423114
257,68381606934244475931540335138070133315511632361138951097548880114665653588284
258,7044367357463504650299307126590258064639681032808039231100095953171227335074
259,8899433559146928706948966591517659472457649481465163657321925719247778278138
260,91246375791221077404182222829715070921036552231357083678028035631099797614724
261,22737605362336354692305278070236578528651884424235205358592844988740229451360
262,26134155790748619945566585397451748326812526871575601524586404590874787038365
263,96680851583916804608115169206793915872671624565277230291771528414885892462512
264,78372571273816241531782592142224875002959835000614100749784095347569689399329
265,76998401635581643695246220274646985164379991558138014404867835358188079380398
266,49615465776155732599417335146759459668107308926000856106214328405589063112197
267,16370245994527835413113465353060186958193557272397081155563965370354542273836
268,14981228993335943925232457662360397538428278188218981898038985247229138186445
269,38178870188573211810369403759643875632028624917621855914342038121484033676420
270,9315314982626949206993687557276046198528268884633370956664526551277580436703
271,15576302053364974464280614584068240867921592968033201477216146368676913232300
272,84329936069973458427641050609676134086395552352028409854263972848389160130588
273,18993461579557293554979367505706851582922945053189457854203971273762012571192
274,44458527830111238219561413244512508097627143119426713125722824074653218948399
275,33267199315528471011383983889555868310973099269868946006510434456863195214073
276,10005459172491077480446187833653455370742004551415307144251766807129526415368
277,106880456121923301040266982698424103700723409671360417577297505190232476242705
278,47989582152971927514382830080332011780926865627008188107357084672021000015809
279,89775497071619463810175843376795729045123544187763761297574549217806249834037
280,65354995699779756184529816331897360928676726444372680279657127285396762284387
281,33479583231594619082748046936965692200956872083264968350160901700784336576457
282,91454275499211788970479578702638564479073219126571686753899903239276270449736
283,9926177247094039863233047866565169370760390531068275227266800396310615597715
284,34195508407458371709720930372867152104833258788897818166290929472280065411246
285,33136220990385006493874264474606801366765376780929745962522230872410791542391
286,64049676955066294957998785023433481181373296277069830027304008731013593067259
287,37789983913627185646402528003338389765369700548233251589674500753010015915066
288,30203099280005262920262384204392182379745514269567008512373521364741979434155
289,70929377029946662711086828125587596424056271487750807310809012230619267508846
290,75414154250671823434993726351757588006951729250937981066392872050350927061193
291,5075296472011167906056782954375935381964265593959203664972910039006621805727
292,110777682656741299598037938333877584863623518631869883062161984709145825241779
293,98525346760840487978646543264556268997905739993210514031012629563037758744544
294,66972221880140775943648378653771375713537408534428294760822179180524993653111
295,103938976566702455467890725560895150496978652001077452110807833179923510979586
296,17280109536986406344921537406611049179013006807802444222984791458475109988981
297,93983669627120408489237380889759999920518985198047759878474241224368746913196
298,18204603908926805262201851612836117864863614329968470018815169776778242358412
299,73461522119054029501254904667730106118075541955367346184281798037248919160525
300,84833430836140438404328042834728383379470748770555168645887555976545255914719
301,4237799859415800408069930110250874318881649018263503664415611353460622465454
302,76108565748640050116944580801177722845184910400917864340764338026570216516465
303,56052642207080117641600297068114013004433218094515021847654830987278191539757
304,87612082785011393886486751527286980997037688788860948396138969940538405008029
305,72562700269897388878871947745125672163405287567403926001659714429656265639859
306,877665359846510147357160601849214450563416585948487538152593758548585536186
307,106955706781749408585594786602071318535114447402657924417328827199303692988235
308,10326869713182685341812367489468791342311483347386314434704348648423479275399
309,50577901154062031601561251550388985411663855056101327067335238342767616566425
310,115423089031168151534628010612966932558028241904993785998527176409378723348872
311,33109693467265120072348548908642951291119803751548308090828077647463601983003
312,101664968792638996365415703475844487102969386742575197179000751362374772858682
313,86628083164085626313060434180523874790134620329362270952110021242458918713305
314,24937297924080449622363454786829122748739919736175626981802327857212385847253
315,84959007211774671623076354968787866579259564520349820039205644109141878047822
316,112766092317026867310382217382397582919866528530048367985085194512361757583321
317,82567564873758711988979779638795460732764744666127811956052722822122521082037
318,52159517723171318069834512220839230168440427174036913756260509063565576465983
319,14160587708958556891333016096837752971317809674215591354988050866397898054973
320,102323896146799027905020954186046943474728800493468431927034400585737375646098
321,90879536306470187958950885288115892957157298333518523194543449401973271568903
322,91497095761044691587026038740807037861332642489138998950217477981799148116422
323,88840479319110688720787138443344500414710645419493637053713257048116450093793
324,8702950992172502006980553290396023474399650966855856770615964329990838049476
325,52746195569306663837709705852925562563654150134566943077575492187087868847797
326,99088109553225732710806618448428378617881766760739909544983034571643334439230
327,104911705571644562274333238738516031403683356210892742416456274971486250722022
328,69846854777709057530332405814116569517933014334674278203223073582028564816602
329,54607018915238187411850213497658107780754256749765539559915490638576163221624
330,10134147026304727530589107400048266223955402707070682696053693383930312410843
331,67330835244841377062196930992079027040949579063041324267898627178591298779181
332,8189453239774402225850827206460841269445102687245807838252853898915498176495
333,4297883885039890546764460010204578797083321204489209319881254748852224166698
334,66794339204273894713218835738933525231340801479165180435664576124106157413310
335,4335791430033230434456581568324093023587969517262574624788374038141042018392
336,68362485254033449703152291024841784928715683370152861979043969926904478449707
337,81882170141328844241515130840515233249868322358004487368940059977229570235316
338,63221660058105514224340907049723402544026070775398803395959833037574993892902
339,74371965253992162661181283588527497334728708210459269740676624841146993319352
340,75635734854555908768455188282322365574742166770523440887704536749415841589507
341,101381084770826992783724341174487156985287542511170118378466018290303927871961
342,3315046475740249104658022530739474654053725100077878245859185722946084490021
343,5977170564148318746308875147933070967847680958858653830698962701697969310842
344,95507308598317285561100134921937634953443275197093235799337124535747824810024
345,94682001164572523167640197172360988868091709088848055713628885658090928422599
346,12594844418426682542876391833159862664666634210222367358648845299079670115500
347,5686279275101562257319254301423074405707152124413200548281343834585220678137
348,20092020487795470902348922061903226936980800082382234434936657235627597574730
349,111744005753590406198969332893530041228670493769704743645077144797282678070668
350,88135472049759715359898993582796855064727414399456412082940193844476938303485
351,6554527789141534829716634367954321507575801321783117826630914073043381407887
352,103610317065690114161250365939748403636523070179037521645884419764713350926692
353,115306789701015407542121422269509842549702160585987133805759914231322544200798
354,82082902810517898361687386172287932257761528219712957809466735946034276857760
355,79107024674328976591689321361200475259323344481739926428765513435563779756048
356,10637716744609698273699676863568411127600351924029468159697214355645184196928
357,24488427157385939679601228269075746736078376885677884326532612387155040992979
358,57473831947535028225957239972451380217222260872479273631582130345085474386407
359,29332358625827513877648848240551049729248107745279553425540717991310598707491
360,41720904233208895102977727339229665369882690686867869088847522773146950528208
361,91318745152964253691897959597878826690241365758029024776040567870991914818152
362,57526076838502955645527862218790439250912809250739639391686260651770910265182
363,100475988630458124198094578849759860236681564115199359290775794694948377107657
364,94832715361373630130558519894547193534345144550703854373359516959571783896443
365,49535318053314115552074276799931951415457860765371550668669645614683318449356
366,65785112141666557317803800537357054437714636418018050302146991750901085130544
367,50411872056280391186024982585915724334804434726377235604904840828024272295490
368,68563021745435981704485233855097975781709387405687217024393421014890479544190
369,34616864999386686947156006134933731216590904218402913686110232180696276903196
370,44972612792818798711927630710380894470621478679021195063332372461866499369602
371,102526244863696598295832320661033198929026609192507273094551128640224152103314
372,75233453090792194759608125295986055412164569378541810190601129641930332916896
373,7329725708522330199838287965864276354662979681295079931340098217292376638489
374,9281398032962031188594265947574173775064914180725180833292650830878127340143
375,95367482349005416577101745598170595418797478725124112727324083549566640332943
376,68639218376217130839821622211736642999983621687645457229059091064346444074859
377,1836233906260352294347731980797292237162262235473407367034255217487823064176
378,15708731635999023426838065727836639959451406758070299531258594834828475514101
379,95384819029673932978946717162380138426046749102830685245588626144508465740891
380,52799986037724085319326060493835753274708431134687538548410203588046483389335
381,41226363422960806637558455038451053450282757178404681497908669156888097053190
382,7707143436051160532634135291945375882661888924360949172346233723381184267617
383,2440160744420231909006612142912751987312612274904309401710743995294426313201
384,65762621987049928202533975509486143384305229472599881804722999905074925682226
385,69408879308050855384535368854848070735605317502793553067508866230487870466489
386,89011502331059018226306309552981776015182773243195913650423458358874744630697
387,85696829267899312344939285894958777886924135579394900055179849929127587083544
388,82600501291507113815402029056597264818041997442315768041518167888643750630293
389,99211886315156613565242653394064397672941571515025163989578816528881335173304
390,102392793757042814354408226331511917816420894058264956334590326263424607358187
391,68630045757077472093743899381040251694088056721416980060148597247940169826781
392,1872038858770204072443318302945747763114928544676231959784577732249341622461
393,104432867137479656315570627097713093282908038562689473726552924058149025110258
394,28138989320588131163654811342375986950633494498155559124543051683653924727759
395,64995018860964529416042482915196829251591035424789265663117530274130381295161
396,89918719596722786362250993060383156088563916369633483498344249895661067536711
397,49621772245983235419426139360412316458375790743865584587905482268846253141355
398,26207501980942265060536536107960078478374463431333418771493086789421354116686
399,57215387770038647404662430309507843690950299770057713788082048652547756941997
400,89033500168732223670091255615742627509583942034839626569140858110140254898526
401,42139221189437991626646918010120733311076225077271564674063972873538279899165
402,105393390645998515771371064515847544376249651256175894456587374559448833308527
403,15245311692911414806427567093734219333044981095936102332620304562048791474314
404,3317447197233280170141359631651003471127828966317637228441942872513470057791
405,81445060123756089671735823470293935694406816383322214870949584088987988869378
406,13788531532691072980799924465876564811410706202510474456876781500113704401266
407,69040030529891918802379313507097828390571198516113440764866010553835023481263
408,11408901456642041538994613087184876336284530452819112571487506046683969053479
409,23444782374187330089023475157180719796464904510600991696914382295913792390355
410,85424087101517648781831268541064470918090316955344766937299851258095413965289
411,46591071484829074077557137800808832434658097252098143754634875040763560155078
412,74434383665189845388614821813005337200809165119503546429593752765376951280723
413,44677526368951484968229441167139789908015424785133501679117265970655706305141
414,84817162239968796062259779455472237294544019726220637179461269848181807456926
415,42074259787565844078637380730764435939832558692760187502854596942653944786112
416,108682329010967963852621269063132740353401256059433888109542340934199760213375
417,99878079484471245800722900649111352446578516339268463035086533637511078172947
418,80156892114180077476906903221946754836749714071488905067166092412549235147894
419,29245563859227852299340803455637339422209162330864053015143471543577905109961
420,80824214410254210219598914683578767886683677242038630538830472032578350745354
421,96446561425070665411389677827657903051628430404252044388326644653266867571683
422,15691193478731717862205827884835208491497691530653194160252763723617089759899
423,54612377190003532294948681865777005297234457796985227575084266872708775681843
424,1478366406311593215318483811727400326868446637134094675509463748593467649791
425,106468368319234802305591005720664257290200983693927702785685658667700234237557
426,40938188383260766532842497586820833916953152382112153621303540883929739740521
427,86039059661027502259929657930635290720648213598483264843387541394367744280646
428,4231949076716095594365649088720637593449529329295817905138367166262148520986
429,6101103274271447956254415426326038693894662890013619924321608262181021699443
430,100193491173207823892544680096731181790323974283960426309301664351565711914556
431,68670883657235433257458252674871537236906186589753159683779000994347865806683
432,104220187828653338140491188929402224502934193734008217253284060026560383299160
433,78471359256708360091372895079412321154725628367611304098993814093774481149756
434,39719645351991215652578727016575721620023286220673054331233504075734247583873
435,67237394678261856927742548242452535481807209774050426112757738533986263198850
436,31399946791160851761145656662290904411876192023254374682518611048543552152447
437,35505161802792210625636989825041391188831121177951178130664168809194713088926
438,60178708466137895380753510940514025618656757744603556474058177690636174847871
439,35123688634968890544598195201981556475733831075172404680413357117478839765705
440,86535082617327097084225235927895275655879163995593753485467148343705125803866
441,28218217678436568103349265687497927116414553767531536065652657556933097981655
442,105194616389528843863616940170651559271457658576527798966392020639065998003317
443,13406015607845396036553907656085433234339729782895436945776685619380189524650
444,71725331042069891993230349296467806716785344225191014961456475125008950212804
445,107558397981988824794309876999969452477393031201568034583391844551819079618862
446,8329060130224573407472949638347772761039274981066108022814566605905291553462
447,42265978989403494646491632735683910985911095278558988229277461012516617309730
448,35751258008635264890089672825550881688408996007902976077934133724235621479805
449,92857231394896173909845543210419086279021025142840064775888659266033492656577
450,91992109547341658050518872944496589831679740519657056530136865398320114381589
451,21290853627797433294760214764490501389516454985220724468624294330135181231377
452,77824561569143513462809836597996726626437261581653173781756275857118800407002
453,1301991326221408471318633721641581367269503046545394267228106030016766741999
454,3958120720410596670004215851148750591424273641128658293120229907307748971013
455,3876346356481996498946053120073588316807403022490467108892678332372370775093
456,108977355279242849506137315526940386948265289274089286207631964221317680302620
457,77419273675203488986491769469571586141359554393073473678978788647976159642460
458,23468393209655105456585797851284277956222015193600832632479606743562910071453
459,72770505089004248414175857364793274080957190356900384753232334802851012780867
460,1687543821672510163073857157918219668850609619033446669919853647180107386428
461,33954704165671743404003324265693980526969609656026923175067626628709687825355
462,19183345533893409038555318701937471288842518694234460953730418556129457054658
463,43561244842061607610349983696384777913752862905356247623937150747126170527828
464,33675714144978413396792329078612725947163411473983652815089086961028477528754
465,103303078638708932849939736073079650726003430825415047791248521663764184128560
466,96217569598690484300509213992353969582007087319363155376953660289171098215464
467,49121772836233136535564226634332992993822383134898918450609405814557290428209
468,55007788648161537236781908960974660142046125099119958619155018850408711585701
469,7838042306655714502618363625469203574438648216745717046128127510412178930821
470,34588466335543729226100641624012218718407431275260632126463104305592635013456
471,31226693771483579227420204226985994310366936695558419576190980038803302357697
472,39329704276306269833179619826257109511771711743659877238473375646517237102456
473,44377335186507187903678040721002581243914344298308683975590294850253457339600
474,107243010957192710626599029699532449205154257927006190494736205368616950855859
475,63247653014018104805874117066524808786245626118874315313847110703944464081180
476,94243131859843950659175081135626747971136486288066180618560620662532728082526
477,35428865455146010622712851671514090882640811603064038029283519445547730646616
478,36095839857195529245144653623164154681158068296816669423565075186944727108590
479,82911258843985396091409075127518336208827855055969434300169771276607888024661
480,33145534172722034792399488837325266427309260175295668829611092754947431463261
